scope_code,scope_name,dimension_code,dimension_name,cell_id,cell_name,plain_label,what_this_cell_measures,benefit_movement,harm_movement,indicators_evidence,gate_cues,example,reviewer_check
U2,Household,D4,Knowledge,U2/D4,Shared Learning,shared learning,"The household's collective access to information, education, and learning capacity.","Better shared access to education and information, intergenerational learning.","Loss of household educational access, information poverty.",Evidence: household connectivity / device access; children's schooling continuity; adult-learning access,Gate classes: Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; touches rights where basic-education entitlements for children apply.,Example: A home-broadband program that enables children's remote schooling improves U2/D4.,"Reviewer check: A reviewer checks access actually reaches the household, not just the area."
U2,Household,D5,Agency,U2/D5,Household Agency,household agency,"The household's collective ability to make decisions, plan, and control its own circumstances.","Greater household self-determination, planning ability, freedom from external control.","Loss of household control, externally imposed decisions, dependency.",Evidence: decision-autonomy surveys; dependency / conditionality of support; forced-relocation data,"Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Can be rights-covered (family privacy, autonomy); otherwise ordinary.",Example: A flexible-benefit design that lets households allocate support to their own priorities raises U2/D5.,Reviewer check: A reviewer tests whether household choice is real or constrained by conditions.
U2,Household,D6,Meaning,U2/D6,Family Meaning,family meaning,"The household's shared sense of identity, belonging, dignity, and purpose.","Stronger shared identity, belonging, dignity, and continuity.","Loss of household identity, stigma, indignity, eroded belonging.",Evidence: belonging / identity surveys; stigma indicators; qualitative testimony,Gate classes: Ordinary welfare. Uncertainty: Explicitly elevated. Interpretation: Usually ordinary welfare; can touch dignity rights. Soft to measure — mark uncertainty.,Example: A culturally-respectful resettlement process preserves U2/D6.,Reviewer check: A reviewer separates a real meaning effect from program rhetoric.
U2,Household,D7,Environment,U2/D7,Home Environment,home environment,The physical environmental quality of the home and its immediate setting.,"Healthier home conditions, reduced indoor hazards, better surroundings.","Indoor pollution, mould, hazards, degraded immediate environment.",Evidence: housing-quality inspections; indoor air / damp measures; hazard records,Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; rights-relevant under habitability standards.,Example: A retrofit program that removes household mould improves U2/D7.,"Reviewer check: A reviewer checks measured home conditions, not self-report alone."
U3,Community,D1,Material,U3/D1,Local Resources,local resources,"The shared economic resources, infrastructure, and services available to a local community.","Better local infrastructure, services, and economic opportunity.","Loss of services, infrastructure decay, local economic decline.",Evidence: local service provision; infrastructure condition; local employment / business data,"Gate classes: Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; containment-relevant when local gains are extracted at the cost of wider scopes, or when shared infrastructure is hollowed out.",Example: A community facility upgrade that adds usable shared services improves U3/D1.,Reviewer check: A reviewer asks whether the benefit is genuinely shared or captured by a subgroup.
U3,Community,D2,Health,U3/D2,Community Health,public health,The collective physical and mental health and safety of the local population.,"Lower community disease/injury burden, better local care access, safer environment.","Local disease spread, unsafe conditions, reduced care access, environmental health harm.",Evidence: local public-health surveillance; care-access data; injury / safety statistics; environmental-health monitoring,Gate classes: Rights Floor; Tail Risk; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare normally; rights-relevant under disproportionate harm or care-access floors; tail-relevant where local outbreaks or contamination could cascade.,Example: A clean-water intervention that cuts a community's disease burden improves U3/D2.,Reviewer check: A reviewer checks whether subgroup harms are masked by a favourable community average.
U3,Community,D3,Social,U3/D3,Community Cohesion,trust and cohesion,"The quality of trust, cooperation, belonging, safety, and relational fabric within a community.","Increased trust, reduced isolation, better cooperation, stronger neighbourhood resilience.","Polarisation, exclusion, displacement, fear, social fragmentation.",Evidence: community trust surveys; participation rates; crime / fear-of-crime data; displacement records,"Gate classes: Rights Floor; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Containment-relevant because eroded social fabric degrades the wider system; rights-relevant if discrimination, exclusion, or targeted domination appears.",Example: A public-space renovation that increases safe cross-group interaction improves U3/D3.,Reviewer check: A reviewer asks whether cohesion gains for some came via exclusion of others.
U3,Community,D4,Knowledge,U3/D4,Local Knowledge,local knowledge,"The community's shared knowledge, information access, and local expertise.","Better local information access, preserved local/Indigenous knowledge, stronger civic literacy.","Information loss, erosion of local knowledge, misinformation spread.",Evidence: information-access measures; local-knowledge preservation records; misinformation prevalence,Gate classes: Containment / Structural Viability; Ordinary welfare. Uncertainty: Explicitly elevated. Interpretation: Ordinary welfare; containment-relevant where an epistemic commons is degraded. Can be rights-relevant for Indigenous knowledge.,Example: A program documenting local ecological knowledge with community consent improves U3/D4.,Reviewer check: A reviewer checks consent and ownership of the knowledge claimed as preserved.
U3,Community,D5,Agency,U3/D5,Community Agency,community agency,"The community's collective capacity to organise, participate, and influence decisions affecting it.","Stronger local voice, participation, self-organisation, and contestability.","Disenfranchisement, suppressed organising, exclusion from decisions.",Evidence: participation in local governance; consultation quality; association / assembly freedom,"Gate classes: Rights Floor; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Often rights-covered (assembly, association, participation); containment-relevant where civic capacity underpins system stability.",Example: A binding community-consultation requirement on local development raises U3/D5.,Reviewer check: A reviewer tests whether participation was substantive or a procedural formality.
U3,Community,D6,Meaning,U3/D6,Shared Meaning,shared meaning,"The community's shared identity, culture, dignity, and sense of collective purpose.","Stronger shared identity, cultural continuity, pride, and belonging.","Cultural erosion, stigma, loss of identity, collective humiliation.",Evidence: cultural-participation data; heritage continuity; community-identity surveys,Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Explicitly elevated. Interpretation: Ordinary welfare; rights-relevant for cultural rights and minority protection. Soft to measure — mark uncertainty.,Example: Protecting a culturally significant site during redevelopment preserves U3/D6.,Reviewer check: A reviewer separates a genuine cultural effect from a symbolic gesture.
U3,Community,D7,Environment,U3/D7,Local Ecology,local ecology,"The ecological condition of the community's local environment: green space, biodiversity, water, land.","Restored habitat, cleaner local environment, protected green space.","Habitat loss, local pollution, degraded green space, contamination.",Evidence: local biodiversity / green-space data; pollution monitoring; land-use change,Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Containment-relevant (local ecology supports wider systems); tail-relevant where degradation is irreversible or contamination could cascade.,Example: A watershed-protection rule that prevents local contamination improves U3/D7.,Reviewer check: A reviewer asks whether 'no local effect' was measured or merely assumed.
U4,Organization,D1,Material,U4/D1,Organizational Resources,operating resources,"An organization's operating means: finances, capital, staffing, and capacity to function and deliver.","Stronger finances, capacity, staffing, and operational sustainability.","Insolvency risk, capacity loss, layoffs, operational decline.",Evidence: financial statements; staffing and capacity data; service-delivery metrics,"Gate classes: Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; containment-relevant when organizational gains are extracted by externalising harm onto community, polity, or biosphere scopes.",Example: A funding change that stabilises a hospital's operating budget improves U4/D1.,"Reviewer check: A reviewer checks whether the organizational gain creates uncosted externalities in other cells (the classic 'operating resources up, U7 down' trap)."
U4,Organization,D2,Health,U4/D2,Organizational Safety,safety,"The safety of people within and affected by the organization: workers, users, and the public.","Fewer injuries, safer operations, better safety culture and compliance.","Workplace injury, unsafe products/services, public-safety incidents.",Evidence: incident and injury rates; safety-compliance audits; near-miss reporting,Gate classes: Rights Floor; Tail Risk; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Rights-covered via labour and safety protections; tail-relevant where failure could cause catastrophic or mass-casualty events.,Example: A maintenance regime that cuts industrial-accident rates improves U4/D2.,Reviewer check: A reviewer checks whether reported safety reflects outcomes or only paperwork compliance.
U4,Organization,D3,Social,U4/D3,Organizational Culture,culture,"The internal relational health of the organization: trust, fairness, inclusion, and cooperation.","Healthier culture, fairer treatment, reduced harassment, stronger cooperation.","Toxic culture, discrimination, harassment, low trust, burnout.",Evidence: staff-climate surveys; grievance and turnover data; fairness / inclusion measures,Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; rights-relevant where discrimination or harassment occurs.,Example: An anti-harassment reform that reduces verified grievances improves U4/D3.,Reviewer check: A reviewer asks whether culture data is independent or self-reported by leadership.
U4,Organization,D4,Knowledge,U4/D4,Knowledge Systems,knowledge systems,"The organization's knowledge, data integrity, institutional memory, and learning systems.","Better knowledge retention, data integrity, transparency, and learning.","Knowledge loss, data corruption, opacity, broken institutional memory.",Evidence: data-integrity audits; documentation completeness; knowledge-retention metrics,Gate classes: Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; containment-relevant where degraded knowledge systems undermine accountability or wider-system reliability.,Example: A records-integrity upgrade that makes decisions auditable improves U4/D4.,Reviewer check: A reviewer tests whether claimed integrity is verifiable or asserted.
U4,Organization,D5,Agency,U4/D5,Role Agency,role agency,"The meaningful autonomy, voice, and fair treatment of individuals in their organizational roles.","More voice, fair process, reasonable autonomy, freedom from arbitrary treatment.","Arbitrary power, suppressed voice, exploitation, loss of role autonomy.",Evidence: worker-voice mechanisms; grievance outcomes; autonomy / discretion measures,Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Rights-relevant via labour rights and freedom of association; otherwise ordinary.,Example: A grievance process with real remedy improves U4/D5.,Reviewer check: A reviewer checks whether voice mechanisms produce outcomes or are decorative.
U4,Organization,D6,Meaning,U4/D6,Mission Coherence,mission coherence,The alignment between the organization's stated purpose and its actual conduct and effects.,"Stronger purpose-conduct alignment, integrity, and legitimate mission delivery.","Mission drift, purpose-washing, hollow mandate, loss of legitimacy.",Evidence: mission-vs-outcome analysis; stakeholder-trust measures; conduct audits,Gate classes: Containment / Structural Viability; Ordinary welfare. Uncertainty: Explicitly elevated. Interpretation: Ordinary welfare; containment-relevant where mission decay (HOI-adjacent) hollows out the institution. Distinct from the formal HOI diagnostic.,Example: A governance reform that realigns conduct with mandate improves U4/D6.,Reviewer check: A reviewer asks whether coherence is evidenced by conduct or only by restated values.
U4,Organization,D7,Environment,U4/D7,Operational Footprint,operational footprint,"The environmental impact of the organization's operations: emissions, waste, resource use, land.","Lower emissions/waste, reduced resource intensity, smaller harmful footprint.","Pollution, emissions, waste, resource depletion, ecological damage.",Evidence: emissions and waste data; resource-use intensity; environmental-compliance records,"Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Containment-relevant (footprint degrades wider scopes); tail-relevant where the footprint contributes to irreversible or large-scale harm. The canonical 'local win, wider loss' cell.",Example: A process change that cuts a plant's emissions while sustaining output improves U4/D7.,"Reviewer check: A reviewer checks footprint against measured externalities, not offset claims alone."
U5,Polity,D1,Material,U5/D1,Public Resources,public resources,"The polity's fiscal and material capacity: public finances, infrastructure, and provisioning.","Sounder public finances, better infrastructure, sustainable provisioning.","Fiscal crisis, infrastructure decay, depleted public capacity.",Evidence: public-finance data; infrastructure condition indices; fiscal-sustainability metrics,Gate classes: Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; containment-relevant where short-term fiscal wins erode long-term public capacity.,Example: An infrastructure-maintenance program that prevents asset decay improves U5/D1.,Reviewer check: A reviewer checks whether gains are sustainable or borrowed from the future.
U5,Polity,D2,Health,U5/D2,Population Health,population health,"The health, safety, and mortality outcomes of the whole population within a polity.","Lower population mortality/morbidity, better system-wide care, stronger resilience.","Rising mortality, system overload, reduced care access, public-health crises.",Evidence: population mortality / morbidity; health-system capacity; health-equity gaps; outbreak surveillance,Gate classes: Rights Floor; Tail Risk; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Tail-relevant for pandemic / health-system-collapse scenarios (non-averagable); rights-relevant under right-to-health floors; otherwise ordinary welfare.,Example: A vaccination program that lowers population mortality improves U5/D2.,"Reviewer check: A reviewer checks whether worst-case scenarios were bounded with a tail measure, not averaged away."
U5,Polity,D3,Social,U5/D3,Legitimacy,legitimacy,"The rule of law, due process, accountability, and perceived legitimacy of public institutions.","Stronger rule of law, due process, accountability, and institutional trust.","Erosion of rule of law, impunity, corruption, collapse of institutional trust.",Evidence: rule-of-law indices; due-process / judicial-independence measures; corruption indicators; institutional-trust surveys,Gate classes: Rights Floor; Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Strongly containment-relevant: legitimacy is load-bearing for the whole system. Rights-relevant (due process); tail-relevant where collapse risks systemic instability.,Example: A judicial-independence safeguard that resists political capture improves U5/D3.,Reviewer check: A reviewer tests whether legitimacy is measured independently or claimed by the institution being assessed.
U5,Polity,D4,Knowledge,U5/D4,Information Access,information access,"The polity's information environment: access, transparency, free expression, and epistemic integrity.","Better transparency, information access, free expression, healthier epistemic commons.","Censorship, opacity, disinformation, surveillance chilling, epistemic capture.",Evidence: transparency / FOI metrics; press-freedom indices; disinformation prevalence; surveillance scope,"Gate classes: Rights Floor; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Rights-covered (free expression, information rights); containment-relevant because a damaged epistemic commons undermines all other governance.",Example: An open-data and FOI reform that increases verifiable transparency improves U5/D4.,Reviewer check: A reviewer checks whether transparency is real and usable or nominal.
U5,Polity,D5,Agency,U5/D5,Civil Agency,civil agency,"People's ability to participate in public life, exercise rights, contest authority, and influence governance.","Stronger voting access, participation, transparency, due process, and contestability.","Suppression, censorship, corruption, procedural exclusion, arbitrary enforcement, reduced civic voice.",Evidence: voting access and turnout; procedural-fairness measures; availability of legal remedies; consultation quality; censorship reports,"Gate classes: Rights Floor; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Frequently rights-covered: tied to due process, liberty, information, dignity, and civic rights — non-compensatory under NCRC. Containment-relevant for system stability.",Example: A reform expanding access to public hearings raises U5/D5; one that blocks lawful dissent harms it.,"Reviewer check: A reviewer tests whether civic participation is enforceable or merely nominal, and whether any group is selectively excluded."
U5,Polity,D6,Meaning,U5/D6,Public Meaning,public meaning,"Shared civic identity, dignity, social contract, and non-domination across the polity.","Stronger civic dignity, inclusion, fair recognition, and a credible social contract.","Domination, civic humiliation, exclusionary identity, eroded social contract.",Evidence: inclusion / recognition measures; social-contract trust surveys; discrimination indicators,"Gate classes: Rights Floor; Containment / Structural Viability. Uncertainty: Explicitly elevated. Interpretation: Rights-relevant (dignity, non-domination, non-discrimination); containment-relevant where a fractured social contract destabilises the polity. Soft to measure.",Example: A reconciliation policy that credibly extends recognition to a marginalised group improves U5/D6.,Reviewer check: A reviewer separates symbolic recognition from changes people actually experience.
U5,Polity,D7,Environment,U5/D7,Public Environment,public environment,The environmental quality and ecological sustainability managed at the polity scale.,"Better regional environmental quality, sustainable resource management, reduced systemic pollution.","Regional pollution, resource depletion, ecosystem degradation, environmental injustice.",Evidence: regional environmental monitoring; resource-stock data; pollution and emissions; environmental-justice mapping,Gate classes: Rights Floor; Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Tail-relevant where regional harm is irreversible or large-scale; containment-relevant; rights-relevant under environmental-justice and environmental-rights regimes.,Example: A regional emissions cap that prevents airshed degradation improves U5/D7.,"Reviewer check: A reviewer checks whether environmental-justice distribution was assessed, not just regional totals."
U6,Humanity / Global Coordination,D1,Material,U6/D1,Global Resources,global resources,"Humanity's shared material base: global resource stocks, critical supply chains, and common infrastructure.","More sustainable global resource use, resilient supply chains, protected commons.","Resource depletion, supply-chain fragility, degradation of global commons.",Evidence: global resource-stock data; supply-chain resilience metrics; commons-condition indicators,"Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Containment-relevant and tail-relevant where depletion or fragility threatens systemic, hard-to-reverse harm at civilisational scale.",Example: A critical-minerals stewardship agreement that reduces depletion risk improves U6/D1.,Reviewer check: A reviewer checks whether 'global' claims rest on global data or extrapolated local figures.
U6,Humanity / Global Coordination,D2,Health,U6/D2,Human Safety,human safety,"The safety and survival of humanity at large, including existential and catastrophic risk.",Reduced catastrophic and existential risk; stronger global safety and resilience.,"Increased existential, pandemic, conflict, or technological catastrophic risk.",Evidence: catastrophic-risk assessments; biosecurity / nuclear-risk indicators; conflict-escalation data,"Gate classes: Rights Floor; Tail Risk; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Primarily tail-relevant: catastrophic and existential risk is non-averagable and bounded under TRC, never traded against ordinary welfare. Rights-relevant at the right-to-life floor.",Example: A biosecurity protocol that lowers engineered-pandemic risk improves U6/D2.,Reviewer check: A reviewer checks that tail risk was bounded with a worst-case measure and not diluted by expected-value framing.
U6,Humanity / Global Coordination,D3,Social,U6/D3,Cooperation,cooperation,"The capacity of humanity to coordinate, cooperate, and maintain peaceful, stable relations at scale.","Stronger global cooperation, conflict reduction, durable coordination institutions.","Breakdown of cooperation, arms races, institutional collapse, escalating conflict.",Evidence: international-cooperation indices; conflict / treaty-compliance data; coordination-institution health,Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Containment-relevant (cooperation underpins global stability); tail-relevant where breakdown risks large-scale conflict.,Example: A verification regime that sustains an arms-control treaty improves U6/D3.,Reviewer check: A reviewer asks whether cooperation is durable or a fragile short-term arrangement.
U6,Humanity / Global Coordination,D4,Knowledge,U6/D4,Civilizational Knowledge,civilizational knowledge,"Humanity's accumulated knowledge, science, and the integrity and safety of its knowledge systems.","Knowledge preservation, scientific progress, epistemic integrity, responsible knowledge stewardship.","Knowledge loss, scientific capture, epistemic collapse, or proliferation of dangerous knowledge.",Evidence: scientific-integrity measures; knowledge-preservation status; research-governance indicators,"Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Containment-relevant; tail-relevant in two directions — catastrophic loss of knowledge, and dangerous diffusion of harmful capability.",Example: An open-but-governed research framework that preserves integrity while limiting dangerous diffusion improves U6/D4.,Reviewer check: A reviewer checks whether knowledge benefits were weighed against misuse and proliferation pathways.
U6,Humanity / Global Coordination,D5,Agency,U6/D5,Collective Agency,collective agency,Humanity's capacity for self-determination and legitimate collective decision-making at the species scale.,"Stronger legitimate global agency, fair representation, and self-determination.","Concentration of unaccountable power, disenfranchisement of peoples, loss of collective self-determination.",Evidence: representation / participation in global governance; power-concentration indicators; self-determination measures,Gate classes: Rights Floor; Containment / Structural Viability. Uncertainty: Explicitly elevated. Interpretation: Rights-relevant (self-determination); containment-relevant where illegitimate concentration destabilises the system. Measurement is contested — mark uncertainty.,Example: A governance reform giving affected populations real voice in a global regime improves U6/D5.,Reviewer check: A reviewer tests whether 'collective' agency includes the marginalised or only powerful actors.
U6,Humanity / Global Coordination,D6,Meaning,U6/D6,Shared Purpose,shared purpose,"Humanity's shared sense of meaning, moral direction, and long-term orientation toward flourishing.","Stronger shared purpose, long-term orientation, intergenerational responsibility.","Nihilism, short-termism, loss of shared direction, intergenerational betrayal.",Evidence: long-term-orientation indicators; intergenerational-equity measures; qualitative analysis,Gate classes: Containment / Structural Viability; Ordinary welfare. Uncertainty: Explicitly elevated. Interpretation: Mostly ordinary/aspirational; containment-relevant where short-termism erodes long-term stability. Inherently soft — mark uncertainty and avoid overclaiming.,Example: A long-horizon institution (e.g. a future-generations commissioner) can support U6/D6.,Reviewer check: A reviewer flags this cell as especially prone to rhetoric and demands concrete mechanisms.
U6,Humanity / Global Coordination,D7,Environment,U6/D7,Planetary Conditions,planetary conditions,The condition of planetary systems that support human civilisation and coordinated managing intelligence.,"Reduced emissions, improved climate stability, lower systemic ecological risk, stronger global resilience.","Increased climate risk, global pollution, destabilised food/water systems, irreversible planetary degradation.",Evidence: emissions data; climate models; planetary-boundary metrics; global food/water-security projections,Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Often catastrophe-relevant: may trigger TRC where irreversible or large-scale harm is plausible. Containment-relevant as a system-stability check.,Example: A high-emissions infrastructure choice may harm U6/D7 even when it benefits a local economy (U3/D1 or U4/D1).,"Reviewer check: A reviewer checks whether irreversibility and worst-case bounds were modelled, not just expected outcomes."
U7,Biosphere,D1,Material,U7/D1,Life-Support Resources,life-support resources,"The biosphere's foundational resources that sustain life: soil, fresh water, clean air, fertility.","Protected or restored soil, water, and air; sustained natural-resource base.","Soil loss, water depletion, air degradation, exhaustion of life-support systems.",Evidence: soil-health data; freshwater-stock and quality; air-quality baselines; resource-renewal rates,Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Tail-relevant where depletion is irreversible or threatens collapse of life-support systems; containment-relevant. Distinct from U4/D1 'operating resources'.,Example: An aquifer-protection rule that prevents irreversible groundwater loss improves U7/D1.,"Reviewer check: A reviewer checks whether renewal rates, not just current stocks, were assessed."
U7,Biosphere,D2,Health,U7/D2,Ecosystem Health,ecosystem health,"The health, function, and viability of ecosystems and the species within them.","Healthier, functioning ecosystems; recovering species and habitats.","Ecosystem dysfunction, species decline, habitat collapse, trophic breakdown.",Evidence: ecosystem-function indicators; species-population trends; habitat-condition assessments,Gate classes: Tail Risk; Containment / Structural Viability; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Tail-relevant where collapse or extinction is plausible and irreversible; containment-relevant as ecosystems underpin wider scopes.,Example: A fisheries policy that lets a collapsing stock recover improves U7/D2.,Reviewer check: A reviewer checks whether ecosystem-function evidence exists or only a single charismatic indicator.
